"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.049283,1,0.16533,0.16533,0.15,0
-0.049283,1,0.16567,0.16567,0.15,0
-0.049283,1,0.166,0.166,0.15,0
-0.049283,1,0.16633,0.16633,0.15,0
-0.057738,1,0.16667,0.16667,0.15,0
-0.057738,1,0.167,0.167,0.15,0
-0.057738,1,0.16733,0.16733,0.15,0
-0.057738,1,0.16767,0.16767,0.15,0
-0.057738,1,0.168,0.168,0.15,0
-0.057738,1,0.16833,0.16833,0.15,0
-0.057738,1,0.16867,0.16867,0.15,0
-0.057738,1,0.169,0.169,0.15,0
-0.057738,1,0.16933,0.16933,0.15,0
-0.057738,1,0.16967,0.16967,0.15,0
-0.057738,1,0.17,0.17,0.15,0
-0.057738,1,0.17033,0.17033,0.15,0
-0.057738,1,0.17067,0.17067,0.15,0
-0.057738,1,0.171,0.171,0.15,0
-0.057738,1,0.17133,0.17133,0.15,0
-0.057738,1,0.17167,0.17167,0.15,0
-0.057738,1,0.172,0.172,0.15,0
-0.057738,1,0.17233,0.17233,0.15,0
-0.057738,1,0.17267,0.17267,0.15,0
-0.057738,1,0.173,0.173,0.15,0
-0.057738,1,0.17333,0.17333,0.15,0
-0.057738,1,0.17367,0.17367,0.15,0
-0.057738,1,0.174,0.174,0.15,0
-0.057738,1,0.17433,0.17433,0.15,0
-0.057738,1,0.17467,0.17467,0.15,0
-0.057738,1,0.175,0.175,0.15,0
-0.057738,1,0.17533,0.17533,0.15,0
-0.057738,1,0.17567,0.17567,0.15,0
-0.057738,1,0.176,0.176,0.15,0
-0.057738,1,0.17633,0.17633,0.15,0
-0.057738,1,0.17667,0.17667,0.15,0
-0.057738,1,0.177,0.177,0.15,0
-0.057738,1,0.17733,0.17733,0.15,0
-0.057738,1,0.17767,0.17767,0.15,0
-0.057738,1,0.178,0.178,0.15,0
-0.057738,1,0.17833,0.17833,0.15,0
-0.057738,1,0.17867,0.17867,0.15,0
-0.057738,1,0.179,0.179,0.15,0
-0.057738,1,0.17933,0.17933,0.15,0
-0.057738,1,0.17967,0.17967,0.15,0
-0.057738,1,0.18,0.18,0.15,0
-0.057738,1,0.18033,0.18033,0.15,0
-0.057738,1,0.18067,0.18067,0.15,0
